MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
ANGICAL,2311,1012,2020,1
ANGUERA,1481,611,2020,1
ANTAS,2243,1159,2020,1
ANTONIO CARDOSO,1512,786,2020,1
ANTONIO GONCALVES,1726,804,2020,1
APORA,2989,1524,2020,1
APUAREMA,1160,573,2020,1
ARACAS,2254,682,2020,1
ARACATU,2926,1053,2020,1
ARACI,8783,3008,2020,1
ARAMARI,1444,569,2020,1
ARATACA,1110,479,2020,1
ARATUIPE,1450,719,2020,1
AURELINO LEAL,1541,521,2020,1
BAIANOPOLIS,2496,1022,2020,1
BAIXA GRANDE,3704,1510,2020,1
BANZAE,1829,953,2020,1
BARRA,7037,3507,2020,1
BARRA DA ESTIVA,7924,2650,2020,1
BARRA DO CHOCA,5400,1636,2020,1
BARRA DO MENDES,2192,539,2020,1
BARRA DO ROCHA,715,281,2020,1
BARREIRAS,82987,25278,2020,1
BARRO ALTO,2223,786,2020,1
BARRO PRETO,637,194,2020,1
BARROCAS,4909,2033,2020,1
BELMONTE,2730,1082,2020,1
BELO CAMPO,2825,665,2020,1
BIRITINGA,2622,1200,2020,1
BOA NOVA,1407,347,2020,1
BOA VISTA DO TUPIM,2608,1177,2020,1
BOM JESUS DA LAPA,23563,12964,2020,1
BOM JESUS DA SERRA,1153,341,2020,1
BONINAL,3184,920,2020,1
BONITO,2182,453,2020,1
BOQUIRA,4936,2488,2020,1
BOTUPORA,2414,897,2020,1
BREJOES,2450,746,2020,1
BREJOLANDIA,2045,1293,2020,1
BROTAS DE MACAUBAS,1915,551,2020,1
BRUMADO,39618,15969,2020,1
BUERAREMA,3525,1314,2020,1
BURITIRAMA,1578,610,2020,1
CAATIBA,998,446,2020,1
CABACEIRAS DO PARAGUACU,2668,1250,2020,1
CACHOEIRA,5636,1741,2020,1
CACULE,8312,2761,2020,1
CAEM,1793,844,2020,1
CAETANOS,1422,605,2020,1
CAETITE,17997,4695,2020,1
CAFARNAUM,3312,1327,2020,1
CAIRU,902,303,2020,1
CALDEIRAO GRANDE,2161,1058,2020,1
CAMACAN,6024,2260,2020,1
CAMACARI,96417,23386,2020,1
CAMAMU,5576,2319,2020,1
CAMPO ALEGRE DE LOURDES,2062,1347,2020,1
CAMPO FORMOSO,16877,6902,2020,1
CANAPOLIS,1954,1217,2020,1
CANARANA,5531,2042,2020,1
CANAVIEIRAS,5463,2401,2020,1
CANDEAL,1048,527,2020,1
CANDEIAS,27076,5433,2020,1
CANDIBA,3202,936,2020,1
CANDIDO SALES,5390,1399,2020,1
CANSANCAO,7203,2548,2020,1
CANUDOS,2647,1133,2020,1
CAPELA DO ALTO ALEGRE,2673,1293,2020,1
CAPIM GROSSO,14824,6210,2020,1
CARAIBAS,1291,308,2020,1
CARAVELAS,3196,1053,2020,1
CARDEAL DA SILVA,1258,461,2020,1
CARINHANHA,5570,2892,2020,1
