MUNICIPIO,TOTAL,MOTOCICLETA,ANO,MES
DOM MACEDO COSTA,1211,529,2023,1
ELISIO MEDRADO,2113,884,2023,1
ENCRUZILHADA,3370,1119,2023,1
ENTRE RIOS,10471,3726,2023,1
ERICO CARDOSO,2524,1148,2023,1
ESPLANADA,7861,2859,2023,1
EUCLIDES DA CUNHA,17267,7260,2023,1
EUNAPOLIS,56394,18885,2023,1
FATIMA,2743,1535,2023,1
FEIRA DA MATA,1242,591,2023,1
FEIRA DE SANTANA,328185,89407,2023,1
FILADELFIA,4443,2131,2023,1
FIRMINO ALVES,854,254,2023,1
FLORESTA AZUL,1645,551,2023,1
FORMOSA DO RIO PRETO,6156,2125,2023,1
GANDU,11927,4214,2023,1
GAVIAO,1123,464,2023,1
GENTIO DO OURO,1907,738,2023,1
GLORIA,4083,1976,2023,1
GONGOGI,805,256,2023,1
GOVERNADOR MANGABEIRA,8027,3117,2023,1
GUAJERU,1410,461,2023,1
GUANAMBI,54887,22258,2023,1
GUARATINGA,4185,2045,2023,1
HELIOPOLIS,1956,925,2023,1
IACU,6120,2530,2023,1
IBIASSUCE,3059,944,2023,1
IBICARAI,5519,1707,2023,1
IBICOARA,6183,2154,2023,1
IBICUI,3091,1286,2023,1
IBIPEBA,2933,950,2023,1
IBIPITANGA,5058,2367,2023,1
IBIQUERA,594,241,2023,1
IBIRAPITANGA,3122,939,2023,1
IBIRAPUA,2395,859,2023,1
IBIRATAIA,4853,2127,2023,1
IBITIARA,4589,1763,2023,1
IBITITA,3341,1033,2023,1
IBOTIRAMA,11787,4557,2023,1
ICHU,2062,984,2023,1
IGAPORA,3436,900,2023,1
IGRAPIUNA,1965,959,2023,1
IGUAI,4062,1666,2023,1
ILHEUS,51198,14158,2023,1
INHAMBUPE,10246,4561,2023,1
IPECAETA,1933,829,2023,1
IPIAU,16939,6653,2023,1
IPIRA,19548,9997,2023,1
IPUPIARA,2929,1192,2023,1
IRAJUBA,1312,467,2023,1
IRAMAIA,1551,595,2023,1
IRAQUARA,5611,1694,2023,1
IRARA,8417,3555,2023,1
IRECE,40376,15298,2023,1
ITABELA,10044,4078,2023,1
ITABERABA,27787,11351,2023,1
ITABUNA,87519,25139,2023,1
ITACARE,3911,1503,2023,1
ITAETE,2964,1323,2023,1
ITAGI,2260,1097,2023,1
ITAGIBA,2594,928,2023,1
ITAGIMIRIM,1610,494,2023,1
ITAGUACU DA BAHIA,1840,714,2023,1
ITAJU DO COLONIA,998,476,2023,1
ITAJUIPE,4621,1508,2023,1
ITAMARAJU,26012,10520,2023,1
ITAMARI,1729,900,2023,1
ITAMBE,3718,1225,2023,1
ITANAGRA,789,318,2023,1
ITANHEM,5629,2444,2023,1
ITAPARICA,3597,1080,2023,1
ITAPE,1838,815,2023,1
ITAPEBI,1611,472,2023,1
ITAPETINGA,22967,8758,2023,1
ITAPICURU,2866,1422,2023,1
ITAPITANGA,1075,466,2023,1
